Time,Total Velocity,Altitude,pogr_speed,pogr_altitude
78,108.37924590267377,1559.631310036573,2.4635180530031944,6.311488759477643
79,108.80793750877055,1576.92774488361,2.4403945804324416,6.276754935270384
80,109.38249441054181,1597.4041610163622,2.42106638039035,6.254244072289952
81,110.25311022028521,1624.2523155886547,2.408668016377802,6.255671559940355
82,111.12731324650234,1651.338554584956,2.396626125180139,6.256643546225315
83,111.85521482049614,1675.4832682085757,2.38173610911792,6.245327728146986
84,112.73200090100241,1703.0176355418175,2.370312214210269,6.245535269902037
85,113.61290840064257,1730.7915593808127,2.359220116655359,6.24534890430072
86,114.19998793624563,1752.2769923594342,2.3423369061390873,6.221607505376175
87,115.23095919963754,1780.4727223424557,2.334821480997339,6.220854045814697
88,116.56372750548091,1822.216083833172,2.333492824903776,6.265514124054215
89,117.60332970668931,1854.377404398705,2.3263617219862716,6.275159766703452
90,118.79300114101635,1886.8438540890595,2.322297482027021,6.2843511838549215
91,119.98942135333127,1923.0489616995912,2.3184242204235113,6.304359211514251
92,121.64078644827678,1966.5764304733862,2.3232958693680215,6.346234759901726
93,123.14668537152468,2014.157552334542,2.325276774768728,6.398560091765709
94,127.848032974451,2143.8244583899345,2.3601993574660853,6.601343851202225
95,129.5289340148687,2193.6915962489534,2.364805466405627,6.651044947445804
96,132.29000136112512,2266.6318310164324,2.3887831442663177,6.766997664109346
97,134.91221598975434,2340.8688647308013,2.4097288309468063,6.882124824878362
98,136.9335865450293,2400.917006128464,2.4195759216568233,6.951568741138841
99,139.73661230251776,2481.4396476630423,2.442846197359897,7.076190148900786
100,141.93419254429276,2547.4210891142966,2.455121434835512,7.155114489764699
101,144.92566276937833,2630.572350940454,2.4806974889296916,7.2780694285191005
102,147.93563062263345,2723.4510708303847,2.506025966944062,7.422764564497545
103,150.65143114136822,2805.4710038017884,2.5258712167774764,7.532899231534777
104,152.5797378545505,2867.5291075560713,2.532212110460096,7.585855896292925
105,155.00079978983342,2943.271128497728,2.5464888654661215,7.671804395192771
106,157.27113930754473,3024.4864892827454,2.557997475298438,7.768184022642215
107,160.20111924763972,3098.052804463414,2.579869583175324,7.841287254308653
